name,similar,desc,tags,num_eps,agg_review,1,2,3,4,5
actually-i-am,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Asahi Kuromine is a high school student who supposedly cannot keep a secret. One day he spots his crush Yoko Shiragami, unfurling a large pair of wings from her back. She explains to him that she is a vampire and is only able to attend a normal school on the condition that no one discover her true identity. Asahi swears to keep her secret but finds it hard to maintain seeing as how Yoko herself is an airhead and Asahi's friend Mikan keeps bullying the two of them.
          ","TMS Entertainment Co., Ltd.::jitsu wa watashi wa",13,4,3,4,10,19,40
ah-my-buddha,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Sixteen-year-old Ikkou Satonaka has raging hormones that make every other boy's look simply weak in comparison. When he gets turned on, he's literally turned into a super-powerful Buddhist monk capable of vanquishing the most evil of spirits! Ikkou's parents send him to the Saienji Temple to train to become a proper monk under the watchful eye of his grandmother. One of his first challenges is to learn to control his lusty desires - but that's easier said than done when he's surrounded by a bevy of beautiful nun trainees who keep losing their clothes!
          ",Nozomi Entertainment::english dub available,52,3,0,2,1,2,0
aho-girl,Gabriel DropOut::Nyanko Days::Ai-Mai-Mi Surgical Friends::Miss Bernard said.,"
            She is Hanabatake Yoshiko, and she's an idiot through and through. She loves bananas, and she loves her childhood friend Akkun. That is all! Summer 2017, Aho Girl gets its long-awaited anime! Watching it will surely cheer you up, probably?
          ",ADK::comedy::slice of life,12,4,6,5,10,19,58
ai-mai-mi,THE IDOLM@STER CINDERELLA GIRLS::Polar Bear Cafe::NANBAKA::Please tell me! Galko-chan,"
            Three girls in the manga club, Ai, Mai, and Mii, battle with evil Earth invaders, face off against rivals in tournaments, and might not actually draw any manga.
          ",Takeshobo::comedy::shoujo::slice of life,13,3.5,6,7,5,4,17
ai-mai-mi-mousou-catastrophe,Nyanko Days::Ai-Mai-Mi Surgical Friends::Hinako Note::Gabriel DropOut,"
            The loveable manga club girls are back! Ai, Mai, Mii, and Ponoka-senpai who might be fighting evil invaders threatening Earth, facing off against rivals in tournaments, and dealing with other absurd situations when they are not drawing manga!
          ",Seven::comedy::slice of life,12,3.5,1,0,1,3,2
ai-mai-mi-surgical-friends,Gabriel DropOut::Nyanko Days::Hinako Note::Miss Bernard said.,"
            Ai, Mai, and Mi belong to the manga research club and have fought off alien invaders as well as rivals in tournaments. But as usual, Ai's the only one actually drawing any manga...
          ",Seven::comedy::slice of life,12,4.5,0,0,2,0,4
air-master,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            A former gymnast, Aikawa Maki has turned her skills to a different way of life - street fighting. The only thing that truly makes her feel alive is violence.
          ",Toei Animation::air master::anime::aikawa maki::adventure::comedy::gymnastics::ecchi::martial arts::yokusaru shibata,27,4.5,42,9,70,148,704
aiura,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            They don't always see eye-to-eye, but that just makes these high school girls' daily lives more fun. ""Their lives happen when nothing is happening"" in this anime based on the lackadaisical four-panel manga. 
 
*This story features high school girls, but there's not much romance, and comedy has its place. Don't expect too much extravagance.
          ",TV TOKYO::anime,13,4,0,0,10,12,20
akagi,BORUTO: NARUTO NEXT GENERATIONS::One Piece::Sword Art Online::Fairy Tail,"
            Tokyo, 1958. A man seriously gambles at a mahjong parlor. He's playing against members of the Ryuzaki yakuza clan. If he loses, he must pay his debt through his own life insurance – truly a game of life and death. With his own existence at stake, he can only play passively, and the game comes to a head. Suddenly, a mysterious boy appears. His name is Akagi, a thirteen-year-old kid. The man senses a strong aura around the youth and decides to have Akagi substitute for him in the next round.
          ",ntv,26,4.5,1,0,2,5,32
akame-ga-kill,Nobunagun::Hand Shakers::Bloodivores::The Reflection,"
            Under the rule of a tyrannical empire, Tatsumi, a young swordsman, leaves his home to save his poverty stricken village. He meets a girl named Akame, an assassin who was bought, brainwashed and trained to kill by the Empire. Akame is a member of the secret assassin group called “Night Raid” who use special weapons called Teigu. Together, Tatsumi and the members of Night Raid confront the corrupt empire.
          ",Toho::action::fighting,24,4.5,37,36,66,149,445
